Feat ID,RT,DT,CCS,Gas,mz,Abundance,Charge,Polarity,Lipid Class,Compound Name,CAS ID,Formula,Mass,Ion Species,Theo mz,ppm Error,Abs ppm Error,Score,Sum Comp,Num Constit,Constit,Constit Abund
690,1.534,,,,434.2369,23802,-1,Negative,,,,,435.2442,(M-H)-,,,,,,
691,10.799,,,,668.5753,23764,-1,Negative,,,,,669.5826,(M-H)-,,,,,,
692,0.656,,,,523.2835,23754,-1,Negative,,,,,524.2908,(M-H)-,,,,,,
693,3.466,,,,297.2436,23731,-1,Negative,,,,,298.2509,(M-H)-,,,,,,
694,9.055,,,,814.5605,23730,-1,Negative,,,,,815.5678,(M-H)-,,,,,,
695,6.640,,,,942.5475,23620,-1,Negative,,,,,943.5548,(M-H)-,,,,,,
696,9.036,,,,901.5807,23608,-1,Negative,Phosphatidylinositol,PI 19:0_20:3,,C48H87O13P,902.5884,(M-H)-,901.5812,-0.5,0.5,96.11,PI 39:3,1,PI 19:0/20:3,100.0
697,11.089,,,,834.6421,23593,-1,Negative,,,,,835.6494,(M-H)-,,,,,,
698,10.084,,,,676.5882,23579,-1,Negative,,,,,677.5955,(M-H)-,,,,,,
699,10.431,,,,729.6149,23564,-1,Negative,,,,,730.6222,(M-H)-,,,,,,
700,12.716,,,,804.4652,23550,-1,Negative,,,,,805.4725,(M-H)-,,,,,,
701,6.013,,,,793.5025,23371,-1,Negative,Phosphatidylglycerol,PG 18:1_20:5,,C44H75O10P,794.5098,(M-H)-,793.5025,0.0,0.0,71.37,PG 38:6,2,PG 18:1/20:5,64.6
702,0.579,,,,558.2916,23347,-1,Negative,,,,,559.2989,(M-H)-,,,,,,
703,0.576,,,,172.0981,23324,-1,Negative,,,,,173.1054,(M-H)-,,,,,,
704,11.588,,,,861.7057,23320,-1,Negative,Sphingomyelin,SM d42:0,,C47H97N2O6P,816.7084,(M+CHO2)-,861.7066,-1.1,1.1,94.03,SM d42:0,17,,
705,6.280,,,,881.5185,23307,-1,Negative,Phosphatidylinositol,PI 18:2_20:4,,C47H79O13P,882.5258,(M-H)-,881.5186,0.0,0.0,68.25,PI 38:6,1,PI 18:2/20:4,100.0
706,10.410,,,,870.6673,23260,-1,Negative,,,,,871.6746,(M-H)-,,,,,,
707,3.818,,,,1003.6727,23229,-1,Negative,,,,,1004.6800,(M-H)-,,,,,,
708,9.885,,,,790.5965,23188,-1,Negative,,,,,791.6038,(M-H)-,,,,,,
709,0.531,,,,151.0264,23157,-1,Negative,,,,,152.0336,(M-H)-,,,,,,
710,9.661,,,,756.5757,22947,-1,Negative,,,,,757.5829,(M-H)-,,,,,,
711,9.647,,,,688.5882,22924,-1,Negative,,,,,689.5954,(M-H)-,,,,,,
712,1.360,,,,311.1688,22920,-1,Negative,,,,,312.1760,(M-H)-,,,,,,
713,9.184,,,,840.6125,22861,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 18:0e_20:4,,C46H86NO7P,795.6142,(M+CHO2)-,840.6124,0.2,0.2,80.92,EtherPC 38:4e,2,EtherPC 18:0e/20:4,66.0
714,1.564,,,,538.3150,22771,-1,Negative,Lysophophatidylcholine,LPC 16:1/0:0,,C24H48NO7P,493.3168,(M+CHO2)-,538.3150,-0.1,0.1,95.07,LPC 16:1,1,LPC 16:1,100.0
715,8.809,,,,736.5286,22675,-1,Negative,,,,,737.5358,(M-H)-,,,,,,
716,10.177,,,,830.6286,22539,-1,Negative,,,,,831.6359,(M-H)-,,,,,,
717,7.991,,,,744.5624,22537,-1,Negative,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d18:1_16:0,,C40H77NO8,699.5649,(M+CHO2)-,744.5631,-1.0,1.0,92.09,HexCer_NS d34:1,1,HexCer_NS d18:1/16:0,100.0
718,0.570,,,,642.2718,22497,-1,Negative,,,,,643.2791,(M-H)-,,,,,,
719,8.969,,,,584.5260,22433,-1,Negative,,,,,585.5333,(M-H)-,,,,,,
720,10.426,,,,707.5940,22420,-1,Negative,,,,,708.6013,(M-H)-,,,,,,
721,10.691,,,,845.6471,22415,-1,Negative,,,,,846.6544,(M-H)-,,,,,,
722,7.549,,,,834.5284,22267,-1,Negative,Phosphatidylserine,PS 18:0_22:6,,C46H78NO10P,835.5363,(M-H)-,834.5291,-0.8,0.8,76.63,PS 40:6,1,PS 18:0/22:6,100.0
723,2.715,,,,917.5333,22185,-1,Negative,,,,,918.5406,(M-H)-,,,,,,
724,9.769,,,,718.5389,22130,-1,Negative,Phosphatidylethanolamine,PE 16:0_18:0,,C39H78NO8P,719.5465,(M-H)-,718.5392,-0.5,0.5,91.53,PE 34:0,1,PE 16:0/18:0,100.0
725,0.507,,,,271.0042,22098,-1,Negative,,,,,272.0115,(M-H)-,,,,,,
726,11.310,,,,705.6148,22011,-1,Negative,,,,,706.6221,(M-H)-,,,,,,
727,8.133,,,,824.5443,21998,-1,Negative,,,,,825.5515,(M-H)-,,,,,,
728,14.183,,,,726.5019,21993,-2,Negative,,,,,1455.0183,(M-2H)-2,,,,,,
729,9.960,,,,875.6856,21988,-1,Negative,,,,,876.6928,(M-H)-,,,,,,
730,9.658,,,,812.5807,21986,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 18:4e_18:0,,C44H82NO7P,767.5829,(M+CHO2)-,812.5811,-0.4,0.4,68.88,EtherPC 36:4e,1,EtherPC 18:4e/18:0,100.0
731,3.122,,,,436.2833,21978,-1,Negative,,,,,437.2906,(M-H)-,,,,,,
732,4.475,,,,681.4036,21850,-1,Negative,,,,,682.4109,(M-H)-,,,,,,
733,10.797,,,,871.6906,21816,-1,Negative,Sphingomyelin,SM d43:2,,C48H95N2O6P,826.6928,(M+CHO2)-,871.6910,-0.4,0.4,93.64,SM d43:2,40,,
734,8.417,,,,922.5807,21762,-1,Negative,,,,,923.5880,(M-H)-,,,,,,
735,14.425,,,,1123.9353,21687,-1,Negative,,,,,1124.9426,(M-H)-,,,,,,
736,2.683,,,,588.2531,21680,-1,Negative,,,,,589.2604,(M-H)-,,,,,,
737,8.015,,,,840.5751,21653,-1,Negative,,,,,841.5823,(M-H)-,,,,,,
738,4.983,,,,657.3763,21623,-1,Negative,,,,,658.3836,(M-H)-,,,,,,
739,0.769,,,,451.2699,21603,-1,Negative,,,,,452.2772,(M-H)-,,,,,,
740,8.707,,,,736.5284,21568,-1,Negative,,,,,737.5357,(M-H)-,,,,,,
741,0.655,,,,200.1295,21563,-1,Negative,,,,,201.1368,(M-H)-,,,,,,
742,8.072,,,,749.5812,21560,-1,Negative,Sphingomyelin,SM d34:0,,C39H81N2O6P,704.5832,(M+CHO2)-,749.5814,-0.3,0.3,95.61,SM d34:0,9,,
743,10.862,,,,877.7011,21554,-1,Negative,,,,,878.7083,(M-H)-,,,,,,
744,11.088,,,,796.6283,21553,-1,Negative,,,,,797.6355,(M-H)-,,,,,,
745,13.136,,,,1469.9490,21441,-1,Negative,,,,,1470.9563,(M-H)-,,,,,,
746,14.397,,,,701.4947,21436,-2,Negative,,,,,1405.0040,(M-2H)-2,,,,,,
747,13.034,,,,1469.9457,21341,-1,Negative,Cardiolipin,CL 74:11,,C83H140O17P2,1470.9566,(M-H)-,1469.9493,-2.4,2.4,87.84,CL 74:11,63,,
748,10.028,,,,724.5708,21255,-1,Negative,,,,,725.5780,(M-H)-,,,,,,
749,1.369,,,,544.2684,21226,-1,Negative,Lysophosphatidylserine,LPS 20:4,,C26H44NO9P,545.2754,(M-H)-,544.2681,0.5,0.5,93.23,LPS 20:4,1,LPS 20:4,100.0
750,11.096,,,,881.6834,21205,-1,Negative,,,,,882.6907,(M-H)-,,,,,,
751,10.312,,,,846.6673,21051,-1,Negative,,,,,847.6746,(M-H)-,,,,,,
752,3.790,,,,653.3451,20987,-1,Negative,,,,,654.3523,(M-H)-,,,,,,
753,0.608,,,,195.0512,20889,-1,Negative,,,,,196.0585,(M-H)-,,,,,,
754,1.637,,,,386.2370,20851,-1,Negative,,,,,387.2442,(M-H)-,,,,,,
755,5.148,,,,815.4866,20845,-1,Negative,Phosphatidylglycerol,PG 18:3_22:6,,C46H73O10P,816.4941,(M-H)-,815.4869,-0.4,0.4,86.03,PG 40:9,1,PG 18:3/22:6,100.0
756,4.375,,,,394.3329,20773,-1,Negative,,,,,395.3401,(M-H)-,,,,,,
757,5.302,,,,309.2800,20670,-1,Negative,Free fatty acid,FA 20:1,,C20H38O2,310.2872,(M-H)-,309.2799,0.2,0.2,70.70,FA 20:1,1,FA 20:1,100.0
758,1.917,,,,621.3039,20655,-1,Negative,Lysophosphatidylinositol,LPI 20:3,,C29H51O12P,622.3118,(M-H)-,621.3045,-1.1,1.1,78.32,LPI 20:3,1,LPI 20:3,100.0
759,14.399,,,,956.8646,20636,-1,Negative,,,,,957.8719,(M-H)-,,,,,,
760,0.656,,,,577.3386,20617,-1,Negative,,,,,578.3459,(M-H)-,,,,,,
761,9.764,,,,842.5911,20537,-1,Negative,Phosphatidylserine,PS 18:1_22:1,,C46H86NO10P,843.5989,(M-H)-,842.5917,-0.7,0.7,67.33,PS 40:2,1,PS 18:1/22:1,100.0
762,8.788,,,,892.6074,20528,-1,Negative,Phosphatidylcholine,PC 19:0_22:6,,C49H86NO8P,847.6091,(M+CHO2)-,892.6073,0.1,0.1,80.64,PC 41:6,1,PC 19:0/22:6,100.0
763,13.004,,,,1470.9488,20491,-1,Negative,,,,,1471.9561,(M-H)-,,,,,,
764,0.515,,,,286.9781,20470,-1,Negative,,,,,287.9854,(M-H)-,,,,,,
765,0.564,,,,164.0719,20458,-1,Negative,,,,,165.0792,(M-H)-,,,,,,
766,0.856,,,,488.2376,20287,-1,Negative,,,,,489.2449,(M-H)-,,,,,,
767,9.418,,,,1159.7196,20280,-1,Negative,,,,,1160.7269,(M-H)-,,,,,,
768,8.094,,,,643.5256,20217,-1,Negative,,,,,644.5329,(M-H)-,,,,,,
769,0.497,,,,242.0800,20095,-1,Negative,,,,,243.0873,(M-H)-,,,,,,
770,11.215,,,,927.6780,20074,-1,Negative,,,,,928.6852,(M-H)-,,,,,,
771,0.579,,,,215.0734,20036,-1,Negative,,,,,216.0807,(M-H)-,,,,,,
772,11.487,,,,873.6789,19989,-1,Negative,,,,,874.6861,(M-H)-,,,,,,
773,8.046,,,,848.5445,19852,-1,Negative,,,,,849.5518,(M-H)-,,,,,,
774,0.489,,,,243.0627,19850,-1,Negative,,,,,244.0700,(M-H)-,,,,,,
775,3.164,,,,667.3074,19828,-1,Negative,,,,,668.3146,(M-H)-,,,,,,
776,14.011,,,,1478.0097,19825,-1,Negative,,,,,1479.0170,(M-H)-,,,,,,
777,2.663,,,,478.2937,19698,-1,Negative,Lysophosphatidylethanolamine,LPE 18:1,,C23H46NO7P,479.3012,(M-H)-,478.2939,-0.4,0.4,96.69,LPE 18:1,1,LPE 18:1,100.0
778,0.855,,,,679.3698,19675,-1,Negative,,,,,680.3770,(M-H)-,,,,,,
779,7.512,,,,902.5912,19638,-1,Negative,Phosphatidylcholine,PC 20:2_22:6,,C50H84NO8P,857.5935,(M+CHO2)-,902.5917,-0.5,0.5,74.62,PC 42:8,1,PC 20:2/22:6,100.0
780,9.710,,,,1185.7351,19560,-1,Negative,,,,,1186.7424,(M-H)-,,,,,,
781,0.479,,,,321.0443,19540,-1,Negative,,,,,322.0515,(M-H)-,,,,,,
782,0.671,,,,582.2509,19478,-1,Negative,,,,,583.2582,(M-H)-,,,,,,
783,9.098,,,,810.5273,19439,-1,Negative,,,,,811.5345,(M-H)-,,,,,,
784,4.101,,,,481.2991,19354,-1,Negative,,,,,482.3064,(M-H)-,,,,,,
785,8.092,,,,568.4944,19343,-1,Negative,,,,,569.5016,(M-H)-,,,,,,
786,12.437,,,,154.9739,19328,-1,Negative,,,,,155.9812,(M-H)-,,,,,,
787,3.651,,,,283.2432,19321,-1,Negative,,,,,284.2505,(M-H)-,,,,,,
788,9.169,,,,789.6126,19309,-1,Negative,,,,,790.6199,(M-H)-,,,,,,
789,4.469,,,,311.1687,19128,-1,Negative,,,,,312.1760,(M-H)-,,,,,,
790,7.780,,,,878.5915,19082,-1,Negative,Phosphatidylcholine,PC 18:1_22:5,,C48H84NO8P,833.5935,(M+CHO2)-,878.5917,-0.1,0.1,83.77,PC 40:6,2,PC 18:1/22:5,64.0
791,10.485,,,,756.5910,19068,-1,Negative,,,,,757.5983,(M-H)-,,,,,,
792,0.583,,,,1027.5601,19068,-1,Negative,,,,,1028.5673,(M-H)-,,,,,,
793,5.903,,,,843.5181,19053,-1,Negative,Phosphatidylglycerol,PG 20:3_22:6,,C48H77O10P,844.5254,(M-H)-,843.5182,0.0,0.0,72.80,PG 42:9,3,PG 20:3/22:6,57.2
794,3.917,,,,325.1843,19037,-1,Negative,,,,,326.1916,(M-H)-,,,,,,
795,10.195,,,,889.6732,19011,-1,Negative,,,,,890.6804,(M-H)-,,,,,,
796,0.489,,,,572.2431,18984,-1,Negative,,,,,573.2504,(M-H)-,,,,,,
797,4.339,,,,331.2643,18982,-1,Negative,Free fatty acid,FA 22:4,,C22H36O2,332.2715,(M-H)-,331.2643,0.1,0.1,84.26,FA 22:4,1,FA 22:4,100.0
798,3.918,,,,311.1689,18979,-1,Negative,,,,,312.1762,(M-H)-,,,,,,
799,6.961,,,,862.5598,18881,-1,Negative,Phosphatidylcholine,PC 17:1_22:6,,C47H80NO8P,817.5622,(M+CHO2)-,862.5604,-0.6,0.6,89.58,PC 39:7,1,PC 17:1/22:6,100.0
800,4.471,,,,174.9561,18870,-1,Negative,,,,,175.9634,(M-H)-,,,,,,
801,14.391,,,,701.9963,18860,-2,Negative,,,,,1406.0071,(M-2H)-2,,,,,,
802,8.519,,,,724.5281,18843,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:0e_20:4,,C41H76NO7P,725.5359,(M-H)-,724.5287,-0.7,0.7,93.58,EtherPE 36:4e,1,EtherPE 16:0e/20:4,100.0
803,10.492,,,,1129.7474,18800,-1,Negative,Hemibismonoacylglycerophosphate,HBMP 62:13,,C68H107O11P,1130.7551,(M-H)-,1129.7478,-0.4,0.4,96.46,HBMP 62:13,18,,
804,0.492,,,,377.0862,18751,-1,Negative,,,,,378.0935,(M-H)-,,,,,,
805,10.755,,,,637.5888,18627,-1,Negative,,,,,638.5961,(M-H)-,,,,,,
806,10.915,,,,858.6673,18583,-1,Negative,,,,,859.6746,(M-H)-,,,,,,
807,7.179,,,,893.5547,18505,-1,Negative,,,,,894.5620,(M-H)-,,,,,,
808,0.610,,,,561.3101,18484,-1,Negative,,,,,562.3174,(M-H)-,,,,,,
809,4.469,,,,325.1841,18463,-1,Negative,,,,,326.1914,(M-H)-,,,,,,
810,2.069,,,,362.2371,18438,-1,Negative,,,,,363.2443,(M-H)-,,,,,,
811,0.492,,,,588.2173,18414,-1,Negative,,,,,589.2246,(M-H)-,,,,,,
812,3.162,,,,1199.6466,18389,-1,Negative,,,,,1200.6539,(M-H)-,,,,,,
813,7.747,,,,720.4972,18388,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_20:5,,C41H72NO7P,721.5046,(M-H)-,720.4974,-0.3,0.3,89.45,EtherPE 36:6e,1,EtherPE 16:1e/20:5,100.0
814,10.778,,,,640.5877,18355,-1,Negative,,,,,641.5950,(M-H)-,,,,,,
815,3.651,,,,463.2077,18294,-1,Negative,,,,,464.2150,(M-H)-,,,,,,
816,14.240,,,,1095.9045,18285,-1,Negative,,,,,1096.9118,(M-H)-,,,,,,
817,4.303,,,,305.2486,18285,-1,Negative,,,,,306.2558,(M-H)-,,,,,,
818,6.745,,,,608.2460,18236,-1,Negative,,,,,609.2532,(M-H)-,,,,,,
819,7.519,,,,799.5490,18182,-1,Negative,,,,,800.5562,(M-H)-,,,,,,
820,5.671,,,,953.4769,18152,-1,Negative,,,,,954.4842,(M-H)-,,,,,,
821,3.831,,,,983.6084,18083,-1,Negative,,,,,984.6157,(M-H)-,,,,,,
822,9.608,,,,662.5726,18082,-1,Negative,,,,,663.5799,(M-H)-,,,,,,
823,10.143,,,,683.5274,18027,-1,Negative,,,,,684.5346,(M-H)-,,,,,,
824,8.164,,,,1480.0375,17962,-1,Negative,,,,,1481.0448,(M-H)-,,,,,,
825,2.696,,,,609.2578,17913,-1,Negative,,,,,610.2650,(M-H)-,,,,,,
826,8.349,,,,842.5911,17873,-1,Negative,Phosphatidylcholine,PC 37:3,,C45H84NO8P,797.5935,(M+CHO2)-,842.5917,-0.7,0.7,82.55,PC 37:3,4,,
827,4.951,,,,762.5345,17853,-1,Negative,,,,,763.5418,(M-H)-,,,,,,
828,8.074,,,,760.5128,17846,-1,Negative,,,,,761.5201,(M-H)-,,,,,,
829,0.709,,,,203.0649,17841,-1,Negative,,,,,204.0722,(M-H)-,,,,,,
830,5.369,,,,590.4458,17787,-1,Negative,,,,,591.4531,(M-H)-,,,,,,
831,1.329,,,,586.3149,17739,-1,Negative,Lysophophatidylcholine,LPC 20:5/0:0,,C28H48NO7P,541.3168,(M+CHO2)-,586.3150,-0.3,0.3,95.98,LPC 20:5,1,LPC 20:5,100.0
832,10.060,,,,885.6315,17735,-1,Negative,,,,,886.6388,(M-H)-,,,,,,
833,8.515,,,,1452.8574,17698,-1,Negative,,,,,1453.8646,(M-H)-,,,,,,
834,11.929,,,,154.9739,17670,-1,Negative,,,,,155.9812,(M-H)-,,,,,,
835,10.063,,,,849.6699,17659,-1,Negative,,,,,850.6772,(M-H)-,,,,,,
836,8.445,,,,788.5806,17653,-1,Negative,Ether-linked phosphatidylcholine,EtherPC 16:0e_18:2,,C42H82NO7P,743.5829,(M+CHO2)-,788.5811,-0.6,0.6,70.47,EtherPC 34:2e,2,EtherPC 16:0e/18:2,63.4
837,8.437,,,,702.5077,17647,-1,Negative,Phosphatidylethanolamine,PE 16:0_17:1,,C38H74NO8P,703.5152,(M-H)-,702.5079,-0.4,0.4,78.30,PE 33:1,1,PE 16:0/17:1,100.0
838,0.585,,,,291.0896,17569,-1,Negative,,,,,292.0969,(M-H)-,,,,,,
839,0.573,,,,580.2562,17543,-1,Negative,,,,,581.2635,(M-H)-,,,,,,
840,10.487,,,,848.6172,17529,-1,Negative,Phosphatidylethanolamine,PE 24:1_20:4,,C49H88NO8P,849.6248,(M-H)-,848.6175,-0.3,0.3,88.56,PE 44:5,3,PE 24:1/20:4,70.9
841,7.736,,,,782.6377,17449,-1,Negative,Sphingomyelin,SM d18:1_18:1(d9),,C41H72[2H]9N2O6P,737.6397,(M+CHO2)-,782.6379,-0.2,0.2,93.47,SM d36:2(d9),1,SM__d d18:1/18:1+D9,100.0
842,6.850,,,,900.5755,17439,-1,Negative,Phosphatidylcholine,PC 20:3_22:6,,C50H82NO8P,855.5778,(M+CHO2)-,900.5760,-0.5,0.5,81.51,PC 42:9,2,PC 20:3/22:6,70.5
843,9.973,,,,911.6469,17438,-1,Negative,,,,,912.6541,(M-H)-,,,,,,
844,9.623,,,,730.5608,17388,-1,Negative,,,,,731.5681,(M-H)-,,,,,,
845,3.341,,,,462.2986,17352,-1,Negative,,,,,463.3058,(M-H)-,,,,,,
846,6.416,,,,845.5335,17343,-1,Negative,Phosphatidylglycerol,PG 20:2_22:6,,C48H79O10P,846.5411,(M-H)-,845.5338,-0.4,0.4,80.01,PG 42:8,3,PG 20:2/22:6,48.9
847,4.393,,,,174.9562,17337,-1,Negative,,,,,175.9635,(M-H)-,,,,,,
848,3.623,,,,627.3293,17286,-1,Negative,,,,,628.3366,(M-H)-,,,,,,
849,10.792,,,,695.5937,17182,-1,Negative,,,,,696.6010,(M-H)-,,,,,,
850,6.302,,,,887.5056,17176,-1,Negative,,,,,888.5128,(M-H)-,,,,,,
851,5.803,,,,607.4211,17116,-1,Negative,,,,,608.4284,(M-H)-,,,,,,
852,10.140,,,,709.5431,17109,-1,Negative,,,,,710.5504,(M-H)-,,,,,,
853,11.064,,,,154.9739,17104,-1,Negative,,,,,155.9812,(M-H)-,,,,,,
854,9.956,,,,527.4468,17091,-1,Negative,,,,,528.4540,(M-H)-,,,,,,
855,9.149,,,,790.6148,17084,-1,Negative,,,,,791.6220,(M-H)-,,,,,,
856,7.327,,,,815.5312,17001,-1,Negative,Glucuronosyldiacylglycerol,GlcADG 38:6,,C47H76O11,816.5388,(M-H)-,815.5315,-0.4,0.4,78.58,GlcADG 38:6,2,,
857,0.779,,,,244.1375,16998,-1,Negative,,,,,245.1448,(M-H)-,,,,,,
858,4.482,,,,686.5685,16932,-1,Negative,,,,,687.5758,(M-H)-,,,,,,
859,10.491,,,,655.5630,16909,-1,Negative,,,,,656.5703,(M-H)-,,,,,,
860,0.543,,,,214.0488,16878,-1,Negative,,,,,215.0561,(M-H)-,,,,,,
861,9.425,,,,1261.8148,16860,-1,Negative,Ganglioside GM3,GM3 d42:2,,C65H118N2O21,1262.8227,(M-H)-,1261.8154,-0.5,0.5,93.67,GM3 d42:2,23,,
862,10.494,,,,628.5439,16857,-1,Negative,,,,,629.5512,(M-H)-,,,,,,
863,10.797,,,,708.5758,16848,-1,Negative,,,,,709.5831,(M-H)-,,,,,,
864,9.662,,,,816.6203,16833,-1,Negative,,,,,817.6276,(M-H)-,,,,,,
865,5.003,,,,683.3920,16825,-1,Negative,,,,,684.3993,(M-H)-,,,,,,
866,3.230,,,,473.2833,16822,-1,Negative,,,,,474.2906,(M-H)-,,,,,,
867,5.957,,,,822.5287,16821,-1,Negative,Phosphatidylcholine,PC 18:2_18:4,,C44H76NO8P,777.5309,(M+CHO2)-,822.5291,-0.4,0.4,85.78,PC 36:6,3,PC 18:2/18:4,63.2
868,5.672,,,,885.4898,16810,-1,Negative,,,,,886.4971,(M-H)-,,,,,,
869,11.387,,,,995.6652,16809,-1,Negative,,,,,996.6725,(M-H)-,,,,,,
870,11.265,,,,646.6139,16809,-1,Negative,Ceramide non-hydroxyfatty acid-dihydrosphingosine,Cer_NDS d16:0_26:2,,C42H81NO3,647.6216,(M-H)-,646.6144,-0.7,0.7,91.18,Cer_NDS d42:2,1,Cer_NDS d16:0/26:2,100.0
871,11.953,,,,720.6506,16773,-1,Negative,Ceramide non-hydroxyfatty acid-dihydrosphingosine,Cer_NDS d44:2,,C44H85NO3,675.6529,(M+CHO2)-,720.6511,-0.7,0.7,77.53,Cer_NDS d44:2,8,,
872,10.159,,,,846.5630,16773,-1,Negative,,,,,847.5703,(M-H)-,,,,,,
873,14.186,,,,1154.8778,16768,-2,Negative,,,,,2311.7702,(M-2H)-2,,,,,,
874,0.674,,,,464.3018,16761,-1,Negative,,,,,465.3091,(M-H)-,,,,,,
875,13.529,,,,1497.9764,16707,-1,Negative,,,,,1498.9837,(M-H)-,,,,,,
876,1.734,,,,325.1844,16703,-1,Negative,,,,,326.1917,(M-H)-,,,,,,
877,1.281,,,,643.2888,16681,-1,Negative,Lysophosphatidylinositol,LPI 22:6,,C31H49O12P,644.2962,(M-H)-,643.2889,-0.1,0.1,66.00,LPI 22:6,1,LPI 22:6,100.0
878,3.927,,,,804.5417,16677,-1,Negative,,,,,805.5490,(M-H)-,,,,,,
879,9.444,,,,1277.8099,16665,-1,Negative,,,,,1278.8172,(M-H)-,,,,,,
880,8.325,,,,946.5789,16657,-1,Negative,,,,,947.5862,(M-H)-,,,,,,
881,4.111,,,,355.2642,16652,-1,Negative,,,,,356.2715,(M-H)-,,,,,,
882,0.883,,,,257.1759,16649,-1,Negative,,,,,258.1832,(M-H)-,,,,,,
883,13.806,,,,1449.9753,16612,-1,Negative,Cardiolipin,CL 72:7,,C81H144O17P2,1450.9879,(M-H)-,1449.9806,-3.7,3.7,63.29,CL 72:7,52,,
884,9.808,,,,816.5756,16594,-1,Negative,Phosphatidylserine,PS 38:1,,C44H84NO10P,817.5833,(M-H)-,816.5760,-0.5,0.5,74.36,PS 38:1,2,,
885,9.583,,,,600.5126,16545,-1,Negative,,,,,601.5199,(M-H)-,,,,,,
886,0.579,,,,189.0577,16516,-1,Negative,,,,,190.0650,(M-H)-,,,,,,
887,0.812,,,,424.2008,16475,-1,Negative,,,,,425.2081,(M-H)-,,,,,,
888,1.099,,,,277.1845,16469,-1,Negative,,,,,278.1918,(M-H)-,,,,,,
889,6.297,,,,955.4923,16439,-1,Negative,,,,,956.4996,(M-H)-,,,,,,
890,8.397,,,,799.5491,16436,-1,Negative,,,,,800.5564,(M-H)-,,,,,,
891,6.567,,,,594.4347,16432,-1,Negative,,,,,595.4420,(M-H)-,,,,,,
892,9.390,,,,311.1687,16404,-1,Negative,,,,,312.1760,(M-H)-,,,,,,
893,7.176,,,,890.5549,16377,-1,Negative,,,,,891.5622,(M-H)-,,,,,,
894,9.392,,,,325.1843,16358,-1,Negative,,,,,326.1916,(M-H)-,,,,,,
895,9.352,,,,674.5126,16343,-1,Negative,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_16:0,,C37H74NO7P,675.5203,(M-H)-,674.5130,-0.6,0.6,89.03,EtherPE 32:1e,1,EtherPE 16:1e/16:0,100.0
896,11.311,,,,620.5985,16321,-1,Negative,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_22:0,,C40H79NO3,621.6060,(M-H)-,620.5987,-0.4,0.4,89.38,Cer_NS d40:1,2,Cer_NS d18:1/22:0,89.0
897,8.513,,,,872.6014,16311,-1,Negative,Oxidized phosphatidylcholine,OxPC 18:0_20:3+1O,,C46H86NO9P,827.6040,(M+CHO2)-,872.6022,-0.9,0.9,82.46,OxPC 38:3+1O,1,OxPC 18:0/20:3+s1d0,100.0
898,7.379,,,,790.5396,16292,-1,Negative,,,,,791.5469,(M-H)-,,,,,,
899,8.401,,,,709.5516,16250,-1,Negative,Phosphatidylethanolamine,PE 15:0_18:1(d7),,C38H67[2H]7NO8P,710.5591,(M-H)-,709.5519,-0.3,0.3,92.46,PE 33:1(d7),1,PE__d 15:0/18:1+D7,100.0
900,8.520,,,,842.5913,16246,-1,Negative,Phosphatidylcholine,PC 37:3,,C45H84NO8P,797.5935,(M+CHO2)-,842.5917,-0.4,0.4,79.75,PC 37:3,4,,
901,3.928,,,,401.2908,16218,-1,Negative,,,,,402.2981,(M-H)-,,,,,,
902,0.492,,,,452.1192,16145,-1,Negative,,,,,453.1265,(M-H)-,,,,,,
903,3.906,,,,339.2001,16141,-1,Negative,,,,,340.2073,(M-H)-,,,,,,
904,3.397,,,,301.2172,16127,-1,Negative,,,,,302.2245,(M-H)-,,,,,,
905,4.618,,,,550.2820,16069,-1,Negative,,,,,551.2893,(M-H)-,,,,,,
906,2.120,,,,476.2781,16041,-1,Negative,Lysophosphatidylethanolamine,LPE 18:2,,C23H44NO7P,477.2855,(M-H)-,476.2783,-0.4,0.4,96.41,LPE 18:2,1,LPE 18:2,100.0
907,10.482,,,,726.6254,16012,-1,Negative,Ceramide alpha-hydroxy fatty acid-phytospingosine,Cer_AP t42:1,,C42H83NO5,681.6271,(M+CHO2)-,726.6253,0.1,0.1,79.15,Cer_AP t42:1,3,,
908,10.199,,,,796.5472,15927,-1,Negative,,,,,797.5545,(M-H)-,,,,,,
909,3.761,,,,342.2472,15923,-1,Negative,,,,,343.2545,(M-H)-,,,,,,
910,7.637,,,,1465.0751,15918,-1,Negative,,,,,1466.0824,(M-H)-,,,,,,
911,13.838,,,,1177.8708,15904,-2,Negative,,,,,2357.7561,(M-2H)-2,,,,,,
912,12.048,,,,733.6462,15880,-1,Negative,,,,,734.6535,(M-H)-,,,,,,
913,3.904,,,,487.3274,15862,-1,Negative,,,,,488.3346,(M-H)-,,,,,,
914,11.762,,,,678.6405,15846,-1,Negative,,,,,679.6478,(M-H)-,,,,,,
915,1.282,,,,285.2073,15836,-1,Negative,,,,,286.2145,(M-H)-,,,,,,
